	team	season	goalsFor	goalsAgainst	reboundsFor	reboundsAgainst	shotsOnGoalFor	shotsOnGoalAgainst	savedShotsOnGoalFor	savedShotsOnGoalAgainst	penalityMinutesFor	penalityMinutesAgainst	faceOffsWonFor	faceOffsWonAgainst	hitsFor	hitsAgainst	giveawaysFor	giveawaysAgainst
1	MIN	2008	214.0	197.0	131.0	146.0	2258.0	2518.0	2044.0	2321.0	847.0	919.0	2223.0	2361.0	1468.0	1443.0	630.0	582.0
6	BOS	2008	267.0	188.0	135.0	156.0	2460.0	2495.0	2193.0	2307.0	921.0	963.0	2360.0	2266.0	1792.0	1875.0	478.0	623.0
11	ARI	2008	200.0	248.0	139.0	162.0	2269.0	2555.0	2069.0	2307.0	964.0	1082.0	2066.0	2531.0	1793.0	1771.0	402.0	498.0
16	L.A	2008	202.0	226.0	188.0	149.0	2383.0	2302.0	2181.0	2076.0	1111.0	1082.0	2370.0	2189.0	2128.0	2009.0	928.0	925.0
21	COL	2008	190.0	253.0	180.0	197.0	2359.0	2376.0	2169.0	2123.0	954.0	988.0	2199.0	2401.0	1462.0	1379.0	698.0	672.0
26	DAL	2008	224.0	251.0	164.0	166.0	2370.0	2304.0	2146.0	2053.0	1042.0	1075.0	2120.0	2313.0	2076.0	2187.0	794.0	831.0
31	TOR	2008	242.0	283.0	167.0	121.0	2573.0	2459.0	2331.0	2176.0	1002.0	1025.0	2359.0	2346.0	1736.0	1923.0	841.0	849.0
36	CAR	2008	236.0	221.0	223.0	216.0	2675.0	2419.0	2439.0	2198.0	784.0	945.0	2433.0	2309.0	1716.0	1955.0	504.0	573.0
41	OTT	2008	214.0	232.0	143.0	157.0	2434.0	2364.0	2220.0	2132.0	992.0	986.0	2385.0	2222.0	1958.0	1897.0	752.0	832.0
46	BUF	2008	242.0	229.0	146.0	127.0	2507.0	2575.0	2265.0	2346.0	995.0	1032.0	2239.0	2484.0	1458.0	1615.0	871.0	806.0
51	T.B	2008	210.0	272.0	145.0	163.0	2367.0	2738.0	2157.0	2466.0	1152.0	1043.0	2367.0	2350.0	1874.0	1462.0	710.0	693.0
56	ANA	2008	238.0	235.0	147.0	169.0	2481.0	2500.0	2243.0	2265.0	1310.0	1129.0	2299.0	2316.0	1758.0	1678.0	671.0	636.0
61	EDM	2008	228.0	244.0	173.0	187.0	2303.0	2668.0	2075.0	2424.0	1135.0	1143.0	2283.0	2481.0	1393.0	1460.0	1038.0	936.0
66	STL	2008	227.0	227.0	147.0	145.0	2271.0	2342.0	2044.0	2115.0	1174.0	1156.0	2291.0	2378.0	1611.0	1651.0	496.0	532.0
71	NYI	2008	198.0	274.0	176.0	183.0	2373.0	2751.0	2175.0	2477.0	1098.0	1010.0	2180.0	2595.0	1828.0	1562.0	714.0	822.0
76	ATL	2008	255.0	285.0	182.0	164.0	2371.0	2745.0	2116.0	2460.0	1134.0	1113.0	2548.0	2431.0	1418.0	1239.0	686.0	600.0
81	DET	2008	285.0	237.0	120.0	124.0	2926.0	2242.0	2641.0	2005.0	798.0	846.0	2593.0	2121.0	1457.0	1686.0	603.0	549.0
86	NSH	2008	207.0	228.0	137.0	163.0	2375.0	2411.0	2168.0	2183.0	960.0	923.0	2556.0	2340.0	1671.0	1467.0	655.0	711.0
91	VAN	2008	242.0	208.0	145.0	141.0	2299.0	2360.0	2057.0	2152.0	1195.0	1219.0	2412.0	2255.0	1294.0	1549.0	652.0	641.0
